Datei,Komplexitaet,Erwartung,Deckt ab (Inventur-IDs / Abschnitte),Bemerkung
01_minimal.takt,1,parse ok + sema ok,"system, channel_decl, command_decl, param_decl, machine_decl, fault_clause, state_decl, enter_block, loop_block, transition, check_stmt","kleinstes vollstaendiges Programm"
02_units_and_data.takt,2,parse ok + sema ok,"unit_decl, enum_decl (einzeilig + layout), record_decl, const_decl, profile_decl, table, fn_decl mit generic_vars [U], if/elif/else, interp, affine Einheiten, pub var","Typsystem-Stichprobe"
03_sequences_and_faults.takt,3,parse ok + sema ok,"hierarchische state_decl, sequence_block (wait/until/expect/repeat/step), check ... for, alert ... for, abort_stmt, after-Transition, Fault-Wald, timeout -> ZIEL","Ablaufsteuerung"
04_blocks_and_multirate.takt,3,parse ok + sema ok,"block_decl + step_decl, machine-Parameter, instance_decl (Dateiebene), every/phase, follows, signal_decl + raise, pub var, every_stmt, for_stmt + break, samples<T,N>, Metadaten-Attribut label","Komposition und Multirate"
05_streams_and_protocol.takt,4,parse ok + sema ok,"stream_decl (intern), Stream-Kanaele, framing/overflow/expect_len, on_handler mit Mustern und Captures, until ... matches ... else, send_stmt, at_stmt, pulse_stmt, cancel_stmt, record layout + bits + len_field, T!E mit OK/ERR, match mit case _","Ereignisstroeme und Protokolle"
06_test_harness.takt,4,parse ok + sema ok,"measure/verify/verdict, sim-Bindung + Streckenmodell, scenario_decl, campaign_decl mit sweep, property_decl (always/eventually/implies), tunable param, fault_is_fail","Testbetrieb (v1.1-Anteile)"
07_embedded_field.takt,5,parse ok + sema ok,"target/tick_source/tick_tolerance/float=f32, persist_decl, state ... idle + wake-Quellen, Bit-Operationen, Einheiten auf Integern (u16[mV]), native fn + native job, job_stmt, Kommando+Status-Geraet, System-Channels, enum ... open, max_slew/debounce","Feldbetrieb (v1.1-Anteile)"
08_reserved_future.takt,5,parse ok + sema lehnt mit Stufenhinweis ab,"generic_vars mit type/const, instance_decl im Zustand (gescopt), state ... resume, trigger_decl + arm/disarm, node_decl + Platzierung, property ... with monitor, port_decl + driver machine, Metadaten label/group","reservierte Konstrukte spaeterer Stufen"
09_known_gaps.takt,5,parse ok + sema ok,"G2 explizite Generic-Instanziierung am Aufrufort; G3 Tupel-Destrukturierung in for; G4 Schluesselwoerter als Membernamen (.as .or .step .state); G5 const-Variable in Typkonstruktor; G6 capture als Stream-Elementtyp; G7 TYPE_IDENT ohne Klammern vor '.'","Regressionstest fuer die geschlossenen Grammatikluecken"
n01_bad_indent.takt,1,Tokenizer-Fehler,"2.1 Einrueckung, Tabs","strukturell erkennbar"
n02_transition_without_goto.takt,2,Parserfehler,"2.3 trans_block","strukturell erkennbar"
n03_reserved_names.takt,2,Semantikfehler (Pruefung 50),"2.5 reservierte Woerter und Membernamen","strukturell erkennbar"
n04_missing_initial.takt,1,Parser-/Semantikfehler (Pruefung 8),"2.3 machine_body","strukturell erkennbar"
n05_open_enum_match.takt,3,Semantikfehler (Pruefungen 19 und 51),"2.5 offene Enums, 3.7 erschoepfendes match","braucht Sema; der Rauchtest meldet ok"
10_nuances.takt,4,parse ok,"alle Schreibweisen aus coverage.py, die in keiner anderen Datei vorkommen","Abdeckungsdatei; Semantik zweitrangig"
