ID,Kategorie,Abschnitt,Bezeichnung,Stufe/Klasse,Meilenstein (Vorschlag),Status,Blockiert durch
CH-0,Kapitel,0,Leitprinzipien und Kurzfassung,,Doku/Rationale,rationale,
CH-1,Kapitel,1,Programmiermodell,,Doku/Rationale,rationale,
CH-2,Kapitel,2,Lexik und Syntax,,Doku/Rationale,rationale,
CH-3,Kapitel,3,Typsystem,,Doku/Rationale,rationale,
CH-4,Kapitel,4,Ausdrücke und Arithmetik,,Doku/Rationale,rationale,
CH-5,Kapitel,5,"Maschinen: Zustände, Übergänge, Faults",,Doku/Rationale,rationale,
CH-6,Kapitel,6,Sequenzen als Zucker,,Doku/Rationale,rationale,
CH-7,Kapitel,7,Zeit und Scheduling,,Doku/Rationale,rationale,
CH-8,Kapitel,8,"Channels, Geräte, Simulation, Profile, Commands",,Doku/Rationale,rationale,
CH-9,Kapitel,9,Formale Semantik,,Doku/Rationale,rationale,
CH-10,Kapitel,10,Statische Analysen — das Compiler-Gate,,Doku/Rationale,rationale,
CH-11,Kapitel,11,Compiler-Architektur und Codegen,,Doku/Rationale,rationale,
CH-12,Kapitel,12,Runtime,,Doku/Rationale,rationale,
CH-13,Kapitel,13,"Verifikation, Test, Zertifizierung",,Doku/Rationale,rationale,
CH-14,Kapitel,14,Beispiele,,Doku/Rationale,rationale,
CH-15,Kapitel,15,Stufenplan und Erweiterungs-Roadmap,,Doku/Rationale,rationale,
CH-16,Kapitel,16,Entscheidungslog,,Doku/Rationale,rationale,
SEM-0.1,Semantik/Abschnitt,0.1,Was die Sprache verspricht (und wie das Versprechen eingelöst wird),,Doku/Rationale,rationale,
SEM-0.2,Semantik/Abschnitt,0.2,Die vierundzwanzig tragenden Entscheidungen,,Doku/Rationale,rationale,
SEM-0.3,Semantik/Abschnitt,0.3,Nicht-Ziele (bewusst),,Doku/Rationale,rationale,
SEM-1.1,Semantik/Abschnitt,1.1,Das Bild in einem Absatz,,M0 (Parser/MIR-Entwurf),fertig,
SEM-1.2,Semantik/Abschnitt,1.2,Die drei Ebenen,,M0 (Parser/MIR-Entwurf),fertig,
SEM-1.3,Semantik/Abschnitt,1.3,"Tick, Perioden, Hyperperiode",,M0 (Parser/MIR-Entwurf),fertig,
SEM-1.4,Semantik/Abschnitt,1.4,Datenfluss,,M0 (Parser/MIR-Entwurf),fertig,
SEM-1.5,Semantik/Abschnitt,1.5,Lebenszyklus,,M0 (Parser/MIR-Entwurf),fertig,
SEM-2.1,Semantik/Abschnitt,2.1,Lexik,,M0 (Parser/MIR-Entwurf),fertig,
SEM-2.2,Semantik/Abschnitt,2.2,Schlüsselwörter,,M0 (Parser/MIR-Entwurf),fertig,
SEM-2.3,Semantik/Abschnitt,2.3,Grammatik (EBNF),,M0 (Parser/MIR-Entwurf),fertig,
SEM-2.4,Semantik/Abschnitt,2.4,Bedeutung der Kernkonstrukte (informell),,M0 (Parser/MIR-Entwurf),fertig,
SEM-2.5,Semantik/Abschnitt,2.5,"Editionen, reservierte Namen und Erweiterbarkeit",,M0 (Parser/MIR-Entwurf),fertig,
SEM-3.1,Semantik/Abschnitt,3.1,Grundtypen,,M1 (Kernsemantik),fertig,
SEM-3.2,Semantik/Abschnitt,3.2,Physikalische Einheiten,,M1 (Kernsemantik),fertig,
SEM-3.3,Semantik/Abschnitt,3.3,Duration und Zeitrechnung,,M1 (Kernsemantik),fertig,
SEM-3.4,Semantik/Abschnitt,3.4,Range-Typen und Intervallanalyse,,M1 (Kernsemantik),teilweise,
SEM-3.5,Semantik/Abschnitt,3.5,Qualität von Input-Channels,,M1 (Kernsemantik),fertig,
SEM-3.6,Semantik/Abschnitt,3.6,Typinferenz,,M1 (Kernsemantik),fertig,
SEM-3.7,Semantik/Abschnitt,3.7,Records und Summentypen,,M1 (Kernsemantik),fertig,
SEM-3.8,Semantik/Abschnitt,3.8,Optionaltyp `T?`,,M1 (Kernsemantik),fertig,
SEM-3.9,Semantik/Abschnitt,3.9,"Bytes, Vektoren, Strings, Tabellen",,M1 (Kernsemantik),fertig,
