ID,Ziel,Name,Bemerkung
SEM-0.1,Rationale,,Versprechen; eingelöst durch die Sätze in 9.4
SEM-0.2,Rationale,,Entscheidungen
SEM-0.3,Rationale,,Nicht-Ziele
SEM-1.1,Rationale,,Bild
SEM-1.2,Knoten,Program,"Programm, Maschinen, Blöcke als Tabellen"
SEM-1.3,Knoten,Config,"tick; Perioden in Machine::period, Hyperperiode nur in Prüfung 32"
SEM-1.4,Knoten,Channel,"Datenfluss: Channel, ExprKind::Published, Stream, StmtKind::At"
SEM-1.5,Runtime,takt-rt-core,Lebenszyklus
SEM-2.1,Frontend,takt-syntax,Lexik
SEM-2.2,Frontend,takt-syntax,Schlüsselwörter
SEM-2.3,Frontend,takt-syntax,Grammatik; je Produktion eine G-Zeile
SEM-2.4,Knoten,Program,Kernkonstrukte
SEM-2.5,Knoten,Config,edition im Logik-Hash; Membernamen als Accessor; open in EnumDef
SEM-3.1,Knoten,Type,
SEM-3.2,Knoten,UnitDef,nominal über UnitId; Dimension und Faktor für to()
SEM-3.3,Knoten,Type::Duration,ConvertKind::As für .as(U)
SEM-3.4,Knoten,Range,Herkunft Declared/Proven; implizite Prüfungen als ExprKind::Checked
SEM-3.5,Knoten,CheckedKind::Valid,Dominanz als Input.dominated
SEM-3.6,Frontend,takt-sema,Typinferenz füllt Expr::ty
SEM-3.7,Knoten,RecordDef,"EnumDef, WireLayout, ExprKind::Decode, Accessor::Encode"
SEM-3.8,Knoten,Type::Optional,"Type::Result, CheckedKind::Missing, ExprKind::Lift/Ok/Err"
SEM-3.9,Knoten,Type::Bytes,"Vec, Map, Str, Line, Table; Methoden als StmtKind::MethodCall"
SEM-3.10,Knoten,BinaryOp::Shl,Bit-Operatoren; Accessor::Bit/Bits/WithBit/Wrap; ExprKind::Cast; Intrinsic::Rotl/Rotr/WrappingAdd
SEM-3.11,Knoten,Type::Mat,"MatOp, ExprKind::Index2"
SEM-3.12,Knoten,GenericOrigin,monomorphisierte Fn/BlockDef/Native mit GenericArgVal
SEM-4.1,Knoten,CheckedKind,jede Fault-Quelle ein Knoten; Primitive als ExprKind::Intrinsic
SEM-4.2,Knoten,Config,float_width im Logik-Hash; libtaktm in der Runtime
SEM-4.3,Knoten,ExprKind::Cond,and/or als BinaryOp
SEM-4.4,Knoten,StmtKind::MethodCall,Seiteneffekte nur in Anweisungen; Ausdrücke rein
SEM-4.5,Knoten,Native,"StmtKind::Job, Type::Handle"
SEM-5.1,Knoten,Machine,State-Baum mit parent/children
SEM-5.2,Runtime,takt-interp,step_m über Machine/State; Entry-Modus
SEM-5.3,Knoten,FaultTarget,FaultKind; Target::Fault; FaultedState
SEM-5.4,Knoten,StmtKind::Abort,Abort-Phase in der Runtime
SEM-5.5,Prüfung,SC-21,"Aktionsblöcke sind Block; Einschränkung prüft Sema (21 für at, Rest in 8)"
SEM-5.6,Knoten,Observe,Confirm für for d; Check als StmtKind::Check
SEM-5.7,Knoten,BlockInstance,"ExprKind::BlockInit, Method::Step"
SEM-5.8,Knoten,VarScope::State,"StmtKind::Every, SignalDef, StmtKind::Break, InstanceInfo"
SEM-5.9,Knoten,PersistVar,
SEM-5.10,Knoten,State,idle; Schlaf in der Runtime
SEM-5.11,Knoten,ScopedInstance,
SEM-5.12,Knoten,Layout,saved_paths; State::resume
SEM-6.1,Rationale,,Motivation
