Datei,Abschnitt,Status,Bemerkung
2_2_01.takt,2.2,ausgeschlossen,"Schluesselwortliste"
2_3_01.takt,2.3,ausgeschlossen,"EBNF"
3_5_01.takt,3.5,Schnipsel,"loop:"
3_7_01.takt,3.7,Schnipsel,"record CanFrame layout little:"
3_7_02.takt,3.7,Schnipsel,"match classify(ev):"
3_8_01.takt,3.8,Schnipsel,"enum HeaderErr: MAGIC, SIZE, VERSION"
3_9_01.takt,3.9,Schnipsel,"const OCV : table<float[V], float[pct]> = [(3.0 V, 0 pct), ("
3_11_01.takt,3.11,Schnipsel,"var p : mat<2, 2> = [[1, 0], [0, 1]]"
3_11_02.takt,3.11,ausgeschlossen,"Typregeln der dimensionierten Matrizen (Prosa in ASCII)"
3_11_03.takt,3.11,Schnipsel,"unitvec X = (m, m/s)                          # Zustand: Pos"
3_12_01.takt,3.12,ausgeschlossen,"Signaturen ohne Rumpf (Syntaxschau; Korpus 08 und 09 decken sie ab)"
4_5_01.takt,4.5,Schnipsel,"native fn fft256(x: [256] float) -> [256] float with cost = "
5_9_01.takt,5.9,Schnipsel,"machine bms:"
5_10_01.takt,5.10,Schnipsel,"input  charger : bool          @ hw("gpio/vbus_det") with wa"
5_11_01.takt,5.11,Schnipsel,"state RUNNING:"
5_11_02.takt,5.11,ausgeschlossen,"Semantik der gescopten Instanzen (Pseudocode)"
5_12_01.takt,5.12,Schnipsel,"state MANUAL resume:                    # bei Wiedereintritt"
5_12_02.takt,5.12,ausgeschlossen,"Semantik von resume (Pseudocode)"
6_3_01.takt,6.3,Schnipsel,"state IGNITION:"
6_3_02.takt,6.3,ausgeschlossen,"Desugaring-Ergebnis mit Pseudonotation -> [Fault ...]"
7_5_01.takt,7.5,Schnipsel,"at m.t + BROWNOUT_DELAY:            # absoluter logischer Ze"
7_5_02.takt,7.5,ausgeschlossen,"Semantik geplanter Ausgaben (Pseudocode)"
7_5_03.takt,7.5,ausgeschlossen,"Latenzformel"
7_5_04.takt,7.5,Schnipsel,"trigger cut_on_erase:"
7_5_05.takt,7.5,Schnipsel,"trigger cut_on_erase node io1:"
8_1_01.takt,8.1,Schnipsel,"input  tank_p    : float[bar] in 0..100 bar @ hw("daq1/ai0")"
8_4_01.takt,8.4,Schnipsel,"param PEAK_TEMP   : float[degC] in 20..150 degC = 85 degC"
8_6_01.takt,8.6,Schnipsel,"input  dut_log : stream<line<256>> @ hw("uart0/rx") with max"
8_6_02.takt,8.6,ausgeschlossen,"Semantik der Stroeme (Pseudocode)"
8_6_03.takt,8.6,Schnipsel,"stream<UpdateMsg> update_q with capacity = 16          # Dat"
8_7_01.takt,8.7,Schnipsel,""Erasing sector {n:int}""
8_7_02.takt,8.7,ausgeschlossen,"Operatorschema mit Platzhalter P"
8_7_03.takt,8.7,Schnipsel,"state UPDATING:"
8_7_04.takt,8.7,ausgeschlossen,"Dispatch (Pseudocode)"
8_7_05.takt,8.7,Schnipsel,"until dut_log matches "Boot v{major:int}.{minor:int}" as m t"
8_8_01.takt,8.8,Schnipsel,"output dut_tx : stream<u8> @ hw("uart0/tx") with max_rate = "
8_9_01.takt,8.9,Schnipsel,"input i_dut : samples<float[A], 100> @ hw("daq1/ai2") with r"
8_9_02.takt,8.9,Schnipsel,"input  vbus_wave : stream<capture<float[V], 4096>> @ hw("daq"
8_11_01.takt,8.11,Schnipsel,"output flash_cmd    : FlashCmd    @ hw("flash/cmd")    with "
9_0_01.takt,9.0,ausgeschlossen,"Notation der Semantik"
9_2_01.takt,9.2,ausgeschlossen,"formale Semantik (Pseudocode)"
9_3_01.takt,9.3,ausgeschlossen,"formale Semantik (Pseudocode)"
9_4_01.takt,9.4,ausgeschlossen,"formale Semantik (Pseudocode)"
9_4_02.takt,9.4,ausgeschlossen,"formale Semantik (Pseudocode)"
9_6_01.takt,9.6,ausgeschlossen,"formale Semantik (Pseudocode)"
9_7_01.takt,9.7,ausgeschlossen,"formale Semantik (Pseudocode)"
9_8_01.takt,9.8,ausgeschlossen,"formale Semantik (Pseudocode)"
9_9_01.takt,9.9,ausgeschlossen,"formale Semantik (Pseudocode)"
11_1_01.takt,11.1,ausgeschlossen,"Crate-Liste"
11_2_01.takt,11.2,ausgeschlossen,"Rust-Skizze"
11_4_01.takt,11.4,ausgeschlossen,"Bibliothekssignaturen in Kurzschreibweise"
12_1_01.takt,12.1,ausgeschlossen,"Runtime-Schleife (Pseudocode)"
12_7_01.takt,12.7,Schnipsel,"input  boot_reason   : BootReason  @ hw("sys/boot_reason")  "
12_9_01.takt,12.9,Schnipsel,"node io1 @ hw("ethercat/1") with tick = 1 ms                "
13_3_01.takt,13.3,Schnipsel,"property no_ignition_without_fuel: always (igniter implies f"
13_5_01.takt,13.5,Schnipsel,"measure boot_time = m.t - t_power_on          # (Name, Wert "
13_5_02.takt,13.5,ausgeschlossen,"Verdikt-Halbverband (Prosa in ASCII)"
13_6_01.takt,13.6,Schnipsel,"scenario "erase interrupted at sector 3" every 1 ms:"
13_7_01.takt,13.7,Schnipsel,"campaign brownout_scan:"
14_1_01.takt,14.1,Schnipsel,"system:"
14_2_01.takt,14.2,Schnipsel,"system:"
14_3_01.takt,14.3,Schnipsel,"enum ValveCmd: CLOSED, OPEN"
14_4_01.takt,14.4,Schnipsel,"fn clamp[U](x: float[U], lo: float[U], hi: float[U]) -> floa"
14_5_01.takt,14.5,Schnipsel,"input tcs : [16] float[degC] @ hw("daq1/tc[0:16]") with max_"
14_6_01.takt,14.6,Schnipsel,"system:"
14_7_01.takt,14.7,Schnipsel,"system:"
14_8_01.takt,14.8,Schnipsel,"system:"
